Code,Name,Market,현금배당수익률(%)_당기,주당 현금배당금(원)
001120,LX인터내셔널,KOSPI,3.8,1200
010120,LS ELECTRIC,KOSPI,3.8,2800
045100,한양이엔지,KOSDAQ,3.8,600
400760,NH올원리츠,KOSPI,3.79,138
383800,LX홀딩스,KOSPI,3.78,270
035810,이지홀딩스,KOSDAQ,3.78,120
016800,퍼시스,KOSPI,3.73,1200
086280,현대글로비스,KOSPI,3.7,6300
003780,진양산업,KOSPI,3.7,250
064960,SNT모티브,KOSPI,3.7,1600
101530,해태제과식품,KOSPI,3.7,200
284740,쿠쿠홈시스,KOSPI,3.7,800
169330,엠브레인,KOSDAQ,3.7,120
017390,서울가스,KOSPI,3.7,2250
013030,하이록코리아,KOSDAQ,3.7,1050
123040,엠에스오토텍,KOSDAQ,3.7,75
044450,KSS해운,KOSPI,3.7,350
016250,SGC E&C,KOSDAQ,3.7,750
039240,경남스틸,KOSDAQ,3.7,120
111110,호전실업,KOSPI,3.69,300
005500,삼진제약,KOSPI,3.66,800
357120,코람코라이프인프라리츠,KOSPI,3.63,200
023000,삼원강재,KOSPI,3.62,110
023150,MH에탄올,KOSPI,3.6,250
036640,HRS,KOSDAQ,3.6,200
293480,하나제약,KOSPI,3.6,510
058650,세아홀딩스,KOSPI,3.6,4000
004450,삼화왕관,KOSPI,3.6,1200
003550,LG,KOSPI,3.57,3100
332370,아이디피,KOSDAQ,3.55,120
004150,한솔홀딩스,KOSPI,3.5,100
122990,와이솔,KOSDAQ,3.5,250
002150,도화엔지니어링,KOSPI,3.5,280
089600,나스미디어,KOSDAQ,3.5,700
110790,크리스에프앤씨,KOSDAQ,3.5,300
002600,조흥,KOSPI,3.5,6000
093190,빅솔론,KOSDAQ,3.5,200
096530,씨젠,KOSDAQ,3.5,800
090350,노루페인트,KOSPI,3.5,325
001560,제일연마,KOSPI,3.5,300
155650,와이엠씨,KOSDAQ,3.5,200
026890,스틱인베스트먼트,KOSPI,3.5,250
013870,지엠비코리아,KOSPI,3.5,150
001790,대한제당,KOSPI,3.46,115
005680,삼영전자,KOSPI,3.45,300
016740,두올,KOSPI,3.41,120
036670,KCI,KOSDAQ,3.41,250
011200,HMM,KOSPI,3.4,700
034310,NICE,KOSPI,3.4,451
037560,LG헬로비전,KOSPI,3.4,120
035600,KG이니시스,KOSDAQ,3.4,420
432320,KB스타리츠,KOSPI,3.4,165
286940,롯데이노베이트,KOSPI,3.4,1000
058430,포스코스틸리온,KOSPI,3.4,1615
003070,코오롱글로벌,KOSPI,3.39,400
077500,유니퀘스트,KOSPI,3.39,200
350520,이지스레지던스리츠,KOSPI,3.38,133
083420,그린케미칼,KOSPI,3.37,230
036800,나이스정보통신,KOSDAQ,3.36,730
035890,서희건설,KOSDAQ,3.32,45
075180,새론오토모티브,KOSPI,3.31,140
004000,롯데정밀화학,KOSPI,3.3,2000
256150,한독크린텍,KOSDAQ,3.3,250
293940,신한알파리츠,KOSPI,3.3,190
123410,코리아에프티,KOSDAQ,3.3,120
068930,디지털대성,KOSDAQ,3.3,200
044820,코스맥스비티아이,KOSPI,3.3,350
023600,삼보판지,KOSDAQ,3.29,310
365550,ESR켄달스퀘어리츠,KOSPI,3.25,135
033290,코웰패션,KOSDAQ,3.23,160
210540,디와이파워,KOSPI,3.2,400
215200,메가스터디교육,KOSDAQ GLOBAL,3.2,2000
009580,무림P&P,KOSPI,3.2,100
024880,케이피에프,KOSDAQ,3.2,150
950110,SBI핀테크솔루션즈,KOSDAQ,3.2,162
005160,동국산업,KOSDAQ,3.2,130
126560,현대퓨처넷,KOSPI,3.2,100
376290,씨유테크,KOSDAQ,3.2,16
004690,삼천리,KOSPI,3.2,3000
241560,두산밥캣,KOSPI,3.2,1600
002170,삼양통상,KOSPI,3.16,1500
004910,조광페인트,KOSPI,3.15,200
003490,대한항공,KOSPI,3.15,750
012700,리드코프,KOSDAQ,3.15,200
038500,삼표시멘트,KOSDAQ,3.14,100
002020,코오롱,KOSPI,3.13,550
210980,SK디앤디,KOSPI,3.12,800
111710,남화산업,KOSDAQ,3.1,200
117580,대성에너지,KOSPI,3.1,250
011760,현대코퍼레이션,KOSPI,3.1,600
405100,큐알티,KOSDAQ,3.1,480
103140,풍산,KOSPI,3.1,1200
204020,그리티,KOSDAQ,3.1,100
272550,삼양패키징,KOSPI,3.1,500
027410,BGF,KOSPI,3.1,120
225190,LK삼양,KOSDAQ,3.1,300
282330,BGF리테일,KOSPI,3.1,4100
018250,애경산업,KOSPI,3.1,580
003480,한진중공업홀딩스,KOSPI,3.09,100
352090,스톰테크,KOSDAQ,3.07,300
067010,이씨에스,KOSDAQ,3.04,120
010130,고려아연,KOSPI,3.01,15000
010060,OCI홀딩스,KOSPI,3.01,3300
005710,대원산업,KOSDAQ,3,175
041650,상신브레이크,KOSPI,3,110
005750,대림B&Co,KOSPI,3,110
011370,서한,KOSDAQ,3,30
089470,HDC현대EP,KOSPI,3,140
039420,케이엘넷,KOSDAQ,3,80
003010,혜인,KOSPI,3,170
052330,코텍,KOSDAQ,3,200
052600,한네트,KOSDAQ,3,150
092730,네오팜,KOSDAQ,3,750
264450,유비쿼스,KOSDAQ,3,510
091700,파트론,KOSDAQ GLOBAL,3,250
024120,KB오토시스,KOSDAQ,3,150
264900,크라운제과,KOSPI,3,250
002310,아세아제지,KOSPI,3,2420
078020,이베스트투자증권,KOSDAQ,3,150
025880,케이씨피드,KOSDAQ,3,75
004020,현대제철,KOSPI,3,1000
216050,인크로스,KOSDAQ,3,321
171120,라이온켐텍,KOSDAQ,3,100
039490,키움증권,KOSPI,2.98,3000
002380,KCC,KOSPI,2.98,8000
005720,넥센,KOSPI,2.97,125
015230,대창단조,KOSPI,2.93,180
002030,아세아,KOSPI,2.93,5000
094820,일진파워,KOSDAQ,2.9,330
023450,동남합성,KOSPI,2.9,1000
000880,한화,KOSPI,2.9,750
120110,코오롱인더,KOSPI,2.9,1300
338100,NH프라임리츠,KOSPI,2.9,131
260970,에스앤디,KOSDAQ,2.9,500
161390,한국타이어앤테크놀로지,KOSPI,2.9,1300
067920,이글루,KOSDAQ,2.9,180
126640,화신정공,KOSDAQ,2.9,50
096760,JW홀딩스,KOSPI,2.9,105
317400,자이에스앤디,KOSPI,2.9,150
030520,한글과컴퓨터,KOSDAQ,2.9,410
130580,나이스디앤비,KOSDAQ,2.9,182
001040,CJ,KOSPI,2.9,3000
071840,롯데하이마트,KOSPI,2.9,300
084870,TBH글로벌,KOSPI,2.89,50
330590,롯데리츠,KOSPI,2.88,109
267980,매일유업,KOSDAQ GLOBAL,2.87,1200
007690,국도화학,KOSPI,2.85,1200
044340,위닉스,KOSDAQ,2.84,300
081660,휠라홀딩스,KOSPI,2.84,1090
006040,동원산업,KOSPI,2.83,1100
353810,이지바이오,KOSDAQ,2.82,100
170030,현대공업,KOSDAQ,2.81,200
001420,태원물산,KOSPI,2.8,140
039340,한국경제TV,KOSDAQ,2.8,160
060720,KH바텍,KOSDAQ,2.8,400
035150,백산,KOSPI,2.8,300
034810,해성산업,KOSDAQ,2.8,225
143240,사람인,KOSDAQ,2.8,500
035510,신세계 I&C,KOSPI,2.8,350
225530,보광산업,KOSDAQ,2.8,150
002900,TYM,KOSPI,2.8,160
453340,현대그린푸드,KOSPI,2.8,325
052400,코나아이,KOSDAQ,2.8,500
170790,파이오링크,KOSDAQ,2.8,300
057030,YBM넷,KOSDAQ,2.8,150
347890,엠투아이,KOSDAQ,2.8,220
013580,계룡건설,KOSPI,2.8,400
066620,국보디자인,KOSDAQ,2.8,400
111770,영원무역,KOSPI,2.77,1300
049430,코메론,KOSDAQ,2.74,250
064850,에프앤가이드,KOSDAQ,2.73,180
058850,KTcs,KOSPI,2.72,100
277410,인산가,KOSDAQ,2.72,50
298020,효성티앤씨,KOSPI,2.71,10000
004780,대륙제관,KOSDAQ,2.7,110
002200,한국수출포장,KOSPI,2.7,80
005610,SPC삼립,KOSPI,2.7,1700
005820,원림,KOSPI,2.7,500
120240,대정화금,KOSDAQ,2.7,450
031510,오스템,KOSDAQ,2.7,50
065530,와이어블,KOSDAQ,2.7,50
023910,대한약품,KOSDAQ,2.7,750
105740,디케이락,KOSDAQ,2.7,250
037330,인지디스플레,KOSDAQ,2.68,50
114090,GKL,KOSPI,2.6,353
126700,하이비젼시스템,KOSDAQ,2.6,500
046310,백금T&A,KOSDAQ,2.6,80
034730,SK,KOSPI,2.6,5000
016590,신대양제지,KOSPI,2.6,150
037760,쎄니트,KOSDAQ,2.6,40
001540,안국약품,KOSDAQ,2.6,220
306040,에스제이그룹,KOSDAQ,2.6,250
033530,에스제이지세종,KOSPI,2.6,150
111380,동인기연,KOSPI,2.59,560
013570,디와이,KOSPI,2.57,150
115500,케이씨에스,KOSDAQ,2.56,180
005850,에스엘,KOSPI,2.53,900
013120,동원개발,KOSDAQ,2.52,80
016710,대성홀딩스,KOSPI,2.5,250
038680,에스넷,KOSDAQ,2.5,120
012620,원일특강,KOSDAQ,2.5,220
267850,아시아나IDT,KOSPI,2.5,500
043370,피에이치에이,KOSDAQ,2.5,250
214180,헥토이노베이션,KOSDAQ,2.5,360
009160,SIMPAC,KOSPI,2.5,100
021650,한국큐빅,KOSDAQ,2.5,70
021320,KCC건설,KOSDAQ,2.5,130
017890,한국알콜,KOSDAQ,2.5,285
282720,금양그린파워,KOSDAQ,2.5,300
007700,F&F홀딩스,KOSPI,2.5,400
069960,현대백화점,KOSPI,2.5,1300
017510,세명전기,KOSDAQ,2.5,70
005390,신성통상,KOSPI,2.5,50
001740,SK네트웍스,KOSPI,2.5,200
451800,한화리츠,KOSPI,2.48,131
190650,코리아에셋투자증권,KOSDAQ,2.48,200
033100,제룡전기,KOSDAQ,2.46,500
023800,인지컨트롤스,KOSPI,2.46,200
005990,매일홀딩스,KOSDAQ,2.45,200
004360,세방,KOSPI,2.45,300
037350,성도이엔지,KOSDAQ,2.44,100
